Genero,Artista,Albums
Pop,Bryan Adams,"alb.681302692,alb.651749068,alb.651043602,alb.648241735,alb.648132711,alb.627161688,alb.617078980,alb.560026201,alb.559583763,alb.540834454,alb.528276370,alb.518163022,alb.512446100,alb.518936716,alb.426252692,alb.416746924,alb.396493730,alb.576189959,alb.587921869,alb.395696879,alb.391412137,alb.366656113,alb.391751840,alb.356090638,alb.445195281,alb.607909842,alb.331821597,alb.297678602,alb.297686538,alb.285876275,alb.283074856,alb.280306415,alb.275678632,alb.266208215,alb.266219413,alb.224678256,alb.214569214,alb.201973086,alb.472276961,alb.202958457,alb.208138791,alb.202649493,alb.201973071,alb.203870924,alb.614888781,alb.627437378,alb.162652757,alb.163063050,alb.163063213,alb.163107877,alb.163107957,alb.194538223,alb.194545441,alb.359387691,alb.614888731,alb.617450910,alb.627322115,alb.627322481,alb.149532847,alb.359752778,alb.364600251,alb.121435856,alb.128493603,alb.445059949,alb.608199817,alb.207520573,alb.55370350,alb.42262387,alb.55367049,alb.77500938,alb.106995101,alb.114276334,alb.57687113,alb.607370212,alb.56377533,alb.56381102,alb.56393580,alb.56395697,alb.62208574,alb.108514361,alb.114556434,alb.195068907,alb.302521883,alb.425399136,alb.445033012,alb.108448962,alb.194899943,alb.57845762,alb.8720037,alb.58511840,alb.58512285,alb.58513770,alb.58516577,alb.59245439,alb.107565937,alb.107518028,alb.108448361,alb.356459920,alb.335729388,alb.57861347,alb.57860929,alb.106878030,alb.108437265,alb.114257493,alb.152654015,alb.301823038,alb.445214859,alb.106797517,alb.190555,alb.56179053,alb.56195419,alb.397916764,alb.323180047,alb.131348,alb.58519558,alb.58520713,alb.58520846,alb.59372201,alb.108646874,alb.147842,alb.58066660,alb.58065353,alb.161356815,alb.328856005,alb.103499,alb.56256180,alb.56252621,alb.57248948,alb.57420355,alb.596482213,alb.240882,alb.56222667,alb.56239134,alb.106490,alb.56235368,alb.56214232,alb.103509,alb.56349725,alb.56350531,alb.58496543,alb.114726743,alb.115680,alb.56094982,alb.56096911,alb.58495784,alb.265083,alb.57851908,alb.57847549,alb.58495992,alb.359348702,alb.621816441,alb.359600343,alb.627307556,alb.57979253,alb.57979937,alb.58496559,alb.114728158,alb.166223772,alb.166224361,alb.168626329,alb.168631091,alb.271162,alb.57977895,alb.57973586,alb.58496371,alb.114741497,alb.167538,alb.57848488,alb.57847666,alb.114723937,alb.57848732,alb.57847526,alb.114742803"
Pop,Paul Simon,"alb.674237823,alb.674441268,alb.651369167,alb.622558581,alb.627515209,alb.583824712,alb.583861091,alb.509481830,alb.509467417,alb.509622401,alb.495295982,alb.426268277,alb.417358266,alb.648527591,alb.476951967,alb.398979805,alb.399081602,alb.518163905,alb.581927277,alb.594009045,alb.392933070,alb.371461415,alb.392916656,alb.512238298,alb.542067999,alb.330582256,alb.319632190,alb.611779061,alb.630780033,alb.306415290,alb.393459804,alb.611763139,alb.293828395,alb.290621774,alb.278603800,alb.261595239,alb.398413001,alb.261131764,alb.630785568,alb.264659427,alb.252792615,alb.246384648,alb.234673773,alb.234136353,alb.234136545,alb.234136687,alb.229110175,alb.229110225,alb.229279650,alb.229279705,alb.229279487,alb.359635260,alb.359296182,alb.624241940,alb.624308545,alb.223996038,alb.223573714,alb.217729074,alb.610066603,alb.181867060,alb.173002215,alb.172890316,alb.219315710,alb.219315912,alb.124061993,alb.429878934,alb.608999459,alb.71702646,alb.121597277,alb.65878676,alb.65878697,alb.227611453,alb.329586747,alb.64904678,alb.63525671,alb.393458889,alb.70949390,alb.608692010,alb.69508104,alb.51053488,alb.45384614,alb.54409933,alb.54403460,alb.107128004,alb.108671644,alb.143263431,alb.322425810,alb.396446625,alb.608991801,alb.325904798,alb.41979176,alb.15157240,alb.312219,alb.10193415,alb.487621521,alb.608097253,alb.607369178,alb.393457065,alb.393459309,alb.393457429,alb.607847489,alb.630918474,alb.28540230,alb.17839833,alb.154925,alb.29433047,alb.54501058,alb.121735295,alb.393459684,alb.630857838,alb.31301997,alb.106228285,alb.6305246,alb.6215248,alb.5240774,alb.58251300,alb.393458376,alb.607241867,alb.98777,alb.9058170,alb.9058169,alb.9058171,alb.214463,alb.236349,alb.54500815,alb.54500830,alb.54500333,alb.393457632,alb.607656115,alb.616301104,alb.616301564,alb.219005,alb.7184500,alb.393457503,alb.607847257,alb.112638,alb.7184502,alb.17524375,alb.39227420,alb.393459547,alb.608335884,alb.7184501,alb.250920,alb.251733,alb.27581411,alb.7149815,alb.393459579,alb.608148584,alb.60801301,alb.606091852,alb.635632196,alb.9058172,alb.112553,alb.607271730,alb.630920596,alb.221300"
Pop,Linda Ronstadt,"alb.646433545,alb.646645223,alb.646432925,alb.646432028,alb.646433848,alb.642420259,alb.613009857,alb.593980445,alb.593968156,alb.593981055,alb.592706355,alb.585910760,alb.572626696,alb.547585308,alb.568023527,alb.582022144,alb.592551813,alb.556689676,alb.556689261,alb.556686100,alb.556686388,alb.594011879,alb.593970623,alb.556622302,alb.556632388,alb.556645042,alb.556599463,alb.540869456,alb.543541267,alb.543384807,alb.534243290,alb.534045704,alb.534080242,alb.533992078,alb.534076199,alb.556689416,alb.524352853,alb.524399125,alb.525487319,alb.526266808,alb.526133826,alb.582023649,alb.582025173,alb.582024658,alb.582036470,alb.592535604,alb.592553057,alb.592555370,alb.592529605,alb.518801030,alb.518754548,alb.518700688,alb.514475783,alb.514490061,alb.514490137,alb.514496989,alb.515614443,alb.515634962,alb.515632051,alb.515634947,alb.512396880,alb.512400348,alb.512437248,alb.512421573,alb.556686813,alb.512057973,alb.512249488,alb.512229373,alb.512258409,alb.512233095,alb.512255047,alb.512244881,alb.518165365,alb.515686066,alb.518729493,alb.518750199,alb.525426304,alb.556629109,alb.593985267,alb.512057381,alb.519034280,alb.518922694,alb.518951582,alb.518940724,alb.582022248,alb.582025707,alb.592556407,alb.592539510,alb.479911199,alb.479282858,alb.514470957,alb.556644193,alb.593985169,alb.476420082,alb.487774367,alb.488003517,alb.487510423,alb.472372363,alb.487505041,alb.488841438,alb.488480921,alb.489699236,alb.489070453,alb.485744858,alb.485606232,alb.485833055,alb.485801047,alb.485206351,alb.485671317,alb.454574094,alb.454576703,alb.454826772,alb.454597980,alb.454598028,alb.459135158,alb.459132709,alb.459135247,alb.459108545,alb.458912299,alb.442660315,alb.442660330,alb.442391449,alb.442351726,alb.442348183,alb.442348383,alb.442351792,alb.458928780,alb.454632032,alb.442785833,alb.442786030,alb.518763506,alb.534042486,alb.444516653,alb.444520877,alb.444515283,alb.444515857,alb.514459713,alb.515601519,alb.534045750,alb.367925065,alb.426258164,alb.426258213,alb.426251010,alb.426254738,alb.426256628,alb.419579348,alb.418618529,alb.409678272,alb.625233734,alb.408217780,alb.547592484,alb.402489274,alb.399065805,alb.398006054,alb.540966099,alb.392933641,alb.392920433,alb.370060271,alb.370539621,alb.391779533,alb.391778879,alb.410877374,alb.345384169,alb.349831135,alb.285879783,alb.284854258,alb.273658267,alb.410957088,alb.516341847,alb.236503355,alb.236502867,alb.236503463,alb.236503487,alb.236503547,alb.236503581,alb.236609005,alb.227028836,alb.227622408,alb.225813955,alb.225814047,alb.576277762,alb.200702110,alb.198662378,alb.194912353,alb.194912964,alb.411080553,alb.411071625,alb.451811260,alb.451812374,alb.191483175,alb.176983351,alb.163402970,alb.149259723,alb.439182278,alb.149259336,alb.296671283,alb.411168607,alb.425027577,alb.584490562,alb.411136712"
Pop,Genesis,"alb.684679616,alb.626085982,alb.594024503,alb.594024353,alb.594024377,alb.556681547,alb.556652943,alb.534335684,alb.534101871,alb.525738016,alb.534155865,alb.534050503,alb.534288353,alb.524340236,alb.517166980,alb.515606125,alb.512244307,alb.512245697,alb.578763297,alb.578776326,alb.590318918,alb.590324897,alb.487585317,alb.487897436,alb.487769903,alb.487547674,alb.578825170,alb.469243312,alb.489130290,alb.487544059,alb.488216691,alb.512272373,alb.556606586,alb.556299459,alb.590327555,alb.465575133,alb.647834318,alb.442274907,alb.442272247,alb.165690659,alb.161447028,alb.110003638,alb.117324331,alb.109703046,alb.48104428,alb.718323354,alb.23659056,alb.17202201,alb.56975419,alb.56605319,alb.56884942,alb.56893274,alb.105929862,alb.56527312,alb.26956041,alb.17202114,alb.56978844,alb.107326214,alb.56874421,alb.105962877,alb.14926328,alb.56619336,alb.105937781,alb.30142210,alb.175183,alb.16346167,alb.26956040,alb.56897971,alb.165886,alb.17202120,alb.9057298,alb.56976291,alb.170852,alb.42132072,alb.56882485,alb.188890,alb.391897208,alb.236036,alb.41577061,alb.176969,alb.218476,alb.17202197,alb.41578528,alb.56980157,alb.17202137,alb.54962172,alb.56979483,alb.107325834,alb.222935,alb.56878935,alb.96869,alb.56610816,alb.157630,alb.21494115,alb.56606045,alb.27891912,alb.56608167,alb.136099,alb.14898846,alb.27891917,alb.9057721,alb.56610862,alb.215190,alb.323677142,alb.230373,alb.54243261,alb.56947972,alb.31250825,alb.143564,alb.56953893,alb.112925,alb.157631,alb.56724627,alb.566855157,alb.304752,alb.54209388,alb.56724749,alb.127085,alb.56727021,alb.250132908,alb.613561747,alb.44742324,alb.334633123,alb.393595346,alb.158399,alb.128242,alb.56894786"
Pop,Daryl Hall & John Oates,"alb.668271411,alb.641392836,alb.586262383,alb.582733618,alb.580020755,alb.534202186,alb.534227253,alb.512402673,alb.506808713,alb.493899438,alb.519050015,alb.664032354,alb.444944659,alb.444822680,alb.438836038,alb.438836055,alb.434911161,alb.434531599,alb.483199922,alb.426254289,alb.412061108,alb.401167691,alb.399064278,alb.539529928,alb.590608383,alb.368486055,alb.392933761,alb.364894138,alb.391779345,alb.338722973,alb.330862108,alb.330864873,alb.391969103,alb.325700080,alb.321537224,alb.352467809,alb.295481393,alb.297679255,alb.297679858,alb.297687113,alb.296136346,alb.295043221,alb.286949238,alb.286949985,alb.285870848,alb.280300314,alb.270632203,alb.264246323,alb.246382663,alb.241986192,alb.226773559,alb.221779469,alb.549596562,alb.208372209,alb.208372369,alb.208382960,alb.208371655,alb.208372655,alb.208369814,alb.198969671,alb.181474177,alb.176987174,alb.180577961,alb.173528719,alb.170680447,alb.166312448,alb.155922766,alb.154361327,alb.151201403,alb.173966722,alb.140292505,alb.139110103,alb.137914796,alb.140571614,alb.141710554,alb.122114530,alb.302827648,alb.103516403,alb.119087075,alb.67622047,alb.63939054,alb.63282584,alb.62676553,alb.56573056,alb.59965512,alb.119034310,alb.54928059,alb.68914114,alb.54505281,alb.46105632,alb.46177913,alb.46120842,alb.45125506,alb.72296608,alb.108288049,alb.121545702,alb.43960819,alb.40409726,alb.39900145,alb.68850527,alb.231690254,alb.297420448,alb.56547377,alb.44198323,alb.31914899,alb.31481540,alb.128981199,alb.558908001,alb.30309331,alb.54242728,alb.56358101,alb.29139292,alb.71005469,alb.119009142,alb.58377954,alb.56540305,alb.193116380,alb.57149363,alb.21551114,alb.72153689,alb.15885397,alb.16156758,alb.14898837,alb.16614502,alb.56445100,alb.16528251,alb.444478693,alb.537380118,alb.12290354,alb.56309894,alb.13502664,alb.10577268,alb.7382351,alb.42483180,alb.6654919,alb.6813105,alb.560419872,alb.558821982,alb.56540569,alb.56540749,alb.117031221,alb.5171310,alb.56342982,alb.56342565,alb.280027,alb.57879613,alb.279922,alb.135798750,alb.270050,alb.558901739,alb.559006213,alb.61667546,alb.268876,alb.226323,alb.42472965,alb.56815395,alb.55871505,alb.262054,alb.129864,alb.58319124,alb.123648,alb.57299045,alb.57299420,alb.56307823,alb.56307734,alb.56769622,alb.309642,alb.12773407,alb.56440726,alb.192621,alb.56538285,alb.138900,alb.257443,alb.257718,alb.212307,alb.224209,alb.27385863,alb.94860,alb.275031,alb.476406904,alb.56580087,alb.224208,alb.132451,alb.258579,alb.101651,alb.251806,alb.252560,alb.655218697,alb.136674,alb.33109183,alb.549619640,alb.56546537,alb.56549032,alb.214224,alb.224207,alb.139500,alb.72193077,alb.189809,alb.214226,alb.216726"
Pop,Savage Garden,"alb.397832845,alb.215580991,alb.661351928,alb.55870334,alb.193114540,alb.9157747,alb.71607591,alb.55873201,alb.56326167,alb.284271,alb.56356692,alb.56346365,alb.136020,alb.56311849,alb.71716383"
Pop,Bruce Hornsby,"alb.650210848,alb.654608331,alb.626926335,alb.482922369,alb.482415485,alb.445870904,alb.419325113,alb.348909711,alb.348427408,alb.230989580,alb.242366114,alb.323675210,alb.359721342,alb.392375855,alb.398021765,alb.667810166,alb.230272211,alb.230273617,alb.230243502,alb.230221472,alb.226659782,alb.185660314,alb.158479359,alb.159142614,alb.334228760,alb.62795168,alb.65555882,alb.114344651,alb.114350698,alb.114348461,alb.340941279,alb.396020400,alb.335841046,alb.56816036,alb.30694242,alb.32439622,alb.194889596,alb.29740401,alb.194909047,alb.15726318,alb.13856499,alb.21921233,alb.11018361,alb.536666369,alb.6415110,alb.19081919,alb.58303260,alb.297156,alb.56770190,alb.123111,alb.7581891,alb.58936629,alb.226659968,alb.168813,alb.162508,alb.58320625,alb.113664,alb.197355,alb.58790004,alb.71940997,alb.139502,alb.58261739,alb.110644,alb.608375697,alb.142512,alb.54283411,alb.57671387,alb.395911690,alb.608097409,alb.90936,alb.56837215,alb.56755234,alb.202771961,alb.607640911,alb.395836736"
Pop,Santana,"alb.683913167,alb.678015385,alb.537199516,alb.613276512,alb.523073215,alb.481845910,alb.506929612,alb.403281710,alb.393604518,alb.389039783,alb.380622601,alb.380622416,alb.625600562,alb.359106136,alb.323892130,alb.318372204,alb.263563286,alb.262819561,alb.522919508,alb.269067765,alb.250569020,alb.241342129,alb.241341924,alb.234999331,alb.234999728,alb.234999486,alb.231460092,alb.230262747,alb.217966648,alb.307327268,alb.397874090,alb.216710911,alb.218924941,alb.224632230,alb.204124317,alb.201235149,alb.204718575,alb.576345999,alb.199307669,alb.198281156,alb.578175167,alb.204274633,alb.188431344,alb.188158364,alb.188515090,alb.179646650,alb.174686251,alb.165266434,alb.165263923,alb.161911973,alb.164610317,alb.161525043,alb.160350400,alb.159283300,alb.158203220,alb.154393530,alb.154393542,alb.609203983,alb.151870032,alb.151361874,alb.163925042,alb.144153983,alb.144154101,alb.144153812,alb.144190554,alb.144141557,alb.144159520,alb.160276658,alb.163910706,alb.144630067,alb.147131145,alb.147839449,alb.396547508,alb.142020668,alb.140942301,alb.132860920,alb.127177384,alb.250095351,alb.126477484,alb.122101023,alb.120149608,alb.119931209,alb.205851824,alb.104613213,alb.121624481,alb.66534639,alb.71016914,alb.65412492,alb.66602532,alb.69104540,alb.388397740,alb.60097597,alb.177526402,alb.63221256,alb.68655932,alb.63202869,alb.72295325,alb.53414137,alb.55168761,alb.65079919,alb.120752697,alb.51193727,alb.50882608,alb.51066075,alb.68885006,alb.49982473,alb.65429545,alb.66142364,alb.69270747,alb.66147258,alb.120817567,alb.120733204,alb.65213283,alb.65648969,alb.54479251,alb.55423198,alb.108288133,alb.108809105,alb.40852087,alb.41177115,alb.71728207,alb.71728257,alb.65651096,alb.68708551,alb.64854611,alb.66297916,alb.65650544,alb.39305329,alb.32114393,alb.32034858,alb.65900101,alb.65820589,alb.65069838,alb.65091630,alb.56355977,alb.56964945,alb.56769345,alb.65199181,alb.29307667,alb.29258622,alb.28854001,alb.65800100,alb.67183187,alb.23458475,alb.56923752,alb.23572084,alb.56940991,alb.54212508,alb.54728207,alb.56968186,alb.71092850,alb.21342021,alb.24962758,alb.21801964,alb.71809530,alb.219808650,alb.219780487,alb.16797346,alb.55422979,alb.71465676,alb.71407883,alb.71531643,alb.15885404,alb.16685087,alb.16685006,alb.311438,alb.16614513,alb.16685062,alb.16614516,alb.65540188,alb.17273892,alb.67613022,alb.57200507,alb.58513302,alb.22548595,alb.11853730,alb.10967700,alb.10967907,alb.10968146,alb.10967527,alb.30007413,alb.9391467,alb.8776216,alb.27101005,alb.56987096,alb.56985460,alb.56446974,alb.6305501,alb.56940327,alb.56969984,alb.140948156,alb.56541533,alb.56534693,alb.56534662,alb.106940901,alb.297098,alb.217345,alb.42469454,alb.56988715,alb.58123048"
Pop,Simply Red,"alb.619678309,alb.420363712,alb.436726489,alb.442158358,alb.337692245,alb.569655475,alb.266679145,alb.229297224,alb.172038400,alb.205972472,alb.420891900,alb.187935234,alb.411053093,alb.338951816,alb.338951837,alb.338952267,alb.338952729,alb.338951208,alb.140356556,alb.130749466,alb.67205834,alb.113233232,alb.139784738,alb.266799207,alb.46419747,alb.50568147,alb.59317414,alb.41638435,alb.61690911,alb.108299408,alb.126646026,alb.135797559,alb.226049469,alb.28603750,alb.25536525,alb.108246143,alb.119160195,alb.25398216,alb.64359107,alb.195059204,alb.62756755,alb.61965482,alb.106120583,alb.195082773,alb.24016520,alb.24016517,alb.24016518,alb.24016516,alb.24016514,alb.24016519,alb.54557442,alb.439018498,alb.54907702,alb.147211913,alb.151344235,alb.106385164,alb.106385464,alb.14126064,alb.14126063,alb.50306166,alb.50280407,alb.50303349,alb.61911825,alb.76000165,alb.108248767,alb.114557563,alb.114980531,alb.135671740,alb.195076993,alb.11155475,alb.8962527,alb.21028037,alb.108447584,alb.108293590,alb.114249719,alb.126359668,alb.135781063,alb.8962526,alb.108306325,alb.498391247,alb.23507421,alb.6796960,alb.136238966,alb.189466060,alb.189466210,alb.295515,alb.114556812,alb.135709912,alb.181803,alb.297153,alb.166166,alb.219716,alb.298853,alb.9057591,alb.9057590,alb.199435,alb.214382,alb.214380,alb.126503,alb.111344197,alb.608064116,alb.189467563,alb.510262309,alb.160625,alb.189407780,alb.189407766,alb.189407664,alb.189407708,alb.476346551,alb.475133063,alb.604562181,alb.24016515,alb.492821502,alb.173913,alb.9057589,alb.55076951,alb.425112797,alb.492799440,alb.175200"
Pop,Donny Hathaway,"alb.641327460,alb.562274924,alb.247172880,alb.208412822,alb.555360646,alb.129207377,alb.475237406,alb.55129611,alb.427844444,alb.475237270,alb.54558362,alb.411227441,alb.428670000,alb.7568387,alb.192556654,alb.6040983,alb.555357033,alb.106353,alb.438941644,alb.521076496,alb.154387209,alb.411194388,alb.245262,alb.59580208,alb.426357174,alb.555315753,alb.24777926,alb.9203585,alb.177872,alb.61572155,alb.411234205,alb.427418206,alb.555358184,alb.642536324,alb.61572310,alb.411196319,alb.642537819,alb.9203583,alb.411205479,alb.61573261,alb.129901606,alb.411231776,alb.427363456,alb.642537888,alb.261907,alb.521076516,alb.41577744,alb.411142293,alb.555054329"
Pop,David Guetta,"alb.430104616,alb.328192007,alb.328192760,alb.411204816,alb.439734329,alb.451038517,alb.318066661,alb.466969344,alb.207360572,alb.206180727,alb.439736567,alb.473141129,alb.206219747,alb.168610205,alb.168610225,alb.168610271,alb.168733698,alb.168610025,alb.424484685,alb.117306749,alb.118322369,alb.115795736,alb.170864452,alb.170864501,alb.68935963,alb.68936137,alb.66482864,alb.64609110,alb.63649305,alb.61593089,alb.55353865,alb.56859806,alb.49108591,alb.49108618,alb.49108633,alb.49108653,alb.57123262,alb.56704657,alb.428664599,alb.438990450,alb.56849595,alb.372567639,alb.436727013,alb.43518044,alb.56707293,alb.105758173,alb.57679600,alb.142246325,alb.436725150,alb.40063937,alb.40063615,alb.40064077,alb.106962078,alb.134832337,alb.140995807,alb.140996898,alb.32992572,alb.50465170,alb.50454823,alb.50485247,alb.50491293,alb.436727478,alb.56715784,alb.32992521,alb.29710699,alb.29710693,alb.56946482,alb.57004464,alb.436722896,alb.56760252,alb.56763453,alb.56803968,alb.107325741,alb.117818995,alb.119236735,alb.119244321,alb.128359942,alb.128360079,alb.437144136,alb.437144187,alb.164926655,alb.105754985,alb.71590926,alb.632819465,alb.13933497,alb.8871638,alb.56784635,alb.107321860,alb.118490329,alb.434900840,alb.4994746,alb.56885872,alb.56462331,alb.57525468,alb.145159587,alb.633019258,alb.674954465"
Pop,Lady Gaga,"alb.670692264,alb.609444488,alb.609443858,alb.592901733,alb.592894470,alb.552491875,alb.478697957,alb.479239259,alb.479248225,alb.621885933,alb.399005041,alb.361699017,alb.330518466,alb.330517656,alb.330522348,alb.359294424,alb.624280215,alb.241571967,alb.241572004,alb.241301337,alb.241301199,alb.272943918,alb.272943985,alb.359411817,alb.368205349,alb.552492037,alb.161446750,alb.161808438,alb.161446775,alb.194548318,alb.320893503,alb.320851512,alb.352485244,alb.352485277,alb.401345857,alb.129700134,alb.129710474,alb.129700153,alb.323640464,alb.323642210,alb.346115808,alb.46308236,alb.46308259,alb.54405856,alb.54401809,alb.54407920,alb.159143836,alb.194879797,alb.359394865,alb.359301723,alb.54404963,alb.55319901,alb.55295312,alb.55310608,alb.119999436,alb.320895479,alb.368208275,alb.385456095,alb.385456113,alb.359849001,alb.30848999,alb.30937606,alb.32929759,alb.55543332,alb.55546191,alb.55554148,alb.114285157,alb.156699863,alb.399006873,alb.399005242,alb.399003275,alb.359278950,alb.426529459,alb.320429736,alb.326675933,alb.23824750,alb.57234689,alb.56375766,alb.57235860,alb.56394234,alb.114279691,alb.114249480,alb.359897537,alb.195050218"
Pop,Pitbull,"alb.400868497,alb.401363671,alb.426554098,alb.62637753,alb.194504339,alb.316755231,alb.288466236,alb.386949434,alb.255190591,alb.255190693,alb.393459512,alb.190576367,alb.191443891,alb.192137527,alb.386953191,alb.396620371,alb.167599723,alb.393457370,alb.167046119,alb.386949396,alb.129852422,alb.386926126,alb.393458241,alb.396460626,alb.129711008,alb.129711036,alb.386926668,alb.68322331,alb.68141827,alb.68401934,alb.68322540,alb.68322557,alb.68322574,alb.68285559,alb.71037844,alb.111396963,alb.626634295,alb.381660894,alb.59894815,alb.59894888,alb.63326410,alb.386926536,alb.46800260,alb.46800293,alb.46800323,alb.54732550,alb.38488418,alb.55349459,alb.71407658,alb.29776976,alb.29924426,alb.71876504,alb.381663220,alb.17232933,alb.31108775,alb.381657004,alb.31108707,alb.12146118,alb.31108708,alb.12146117,alb.13099025,alb.47589998,alb.57345579,alb.6202583,alb.6202584,alb.31108724,alb.31108723"
Pop,Flo Rida,"alb.419986684,alb.454176322,alb.182039011,alb.182039028,alb.411063053,alb.192125546,alb.80796649,alb.104533001,alb.105507988,alb.426475011,alb.453488348,alb.426299278,alb.428793567,alb.55079599,alb.46239790,alb.426283208,alb.428779932,alb.61448857,alb.68285521,alb.105509765,alb.426287864,alb.442024270,alb.42502358,alb.111348159,alb.428777572,alb.54341743,alb.69920754,alb.104532958,alb.111353362,alb.113234817,alb.26873619,alb.26851100,alb.54341148,alb.54341606,alb.19336279,alb.19381907,alb.428776775,alb.128329280"
Pop,Calvin Harris,"alb.687877334,alb.687632967,alb.332325074,alb.400235536,alb.611970156,alb.320913130,alb.266665120,alb.634310365,alb.398408771,alb.386544766,alb.166167870,alb.118335502,alb.386544873,alb.386551257,alb.66900424,alb.67481203,alb.67850489,alb.142829380,alb.386551003,alb.439517166,alb.60366723,alb.29606144,alb.55427974,alb.57793455,alb.64602514,alb.71396339,alb.118335471,alb.57731757,alb.125958055,alb.125852434,alb.16057659,alb.54345756,alb.55434995,alb.55450382,alb.57774317,alb.71879123,alb.111709456,alb.124267900,alb.125973241,alb.226202276"
Pop,Madonna,"alb.713969210,alb.724539083,alb.718862384,alb.711878800,alb.691400965,alb.678002254,alb.677549630,alb.648390537,alb.633019092,alb.616564689,alb.617340523,alb.617350739,alb.616579705,alb.579976162,alb.574667122,alb.566331854,alb.564887614,alb.563522974,alb.416259327,alb.384583725,alb.384569899,alb.361718703,alb.575668751,alb.321153110,alb.274430425,alb.274546803,alb.189360349,alb.187279653,alb.179839958,alb.180703837,alb.365118914,alb.179402470,alb.179839974,alb.179840008,alb.179149609,alb.180035238,alb.180275150,alb.182382105,alb.177066672,alb.177824376,alb.399165195,alb.121622457,alb.56463182,alb.56463200,alb.56463213,alb.56463226,alb.55862913,alb.55862926,alb.55862946,alb.58519470,alb.107321009,alb.220471532,alb.326900662,alb.320830879,alb.320807784,alb.320888347,alb.320897074,alb.320836978,alb.32947207,alb.54097668,alb.111338978,alb.111352568,alb.438952550,alb.453719332,alb.111353780,alb.105509528,alb.425145502,alb.436400385,alb.30169240,alb.55341389,alb.111343832,alb.111323508,alb.113239870,alb.113233702,alb.113235024,alb.113228719,alb.113238134,alb.113229661,alb.20338490,alb.20338483,alb.55101128,alb.426021597,alb.54827609,alb.594247219,alb.54983728,alb.8836354,alb.594247309,alb.438958821,alb.272768,alb.272773,alb.272769,alb.8775724,alb.426281370,alb.484645170,alb.226574,alb.54987138,alb.464181517,alb.506373078,alb.654692385,alb.111072,alb.594247252,alb.106494,alb.594247237,alb.485296248,alb.54333941,alb.54333690,alb.119237564,alb.87081,alb.594247360,alb.524411961,alb.707431293,alb.104076,alb.522625956,alb.318744,alb.130835,alb.428718188,alb.594247330,alb.537354786,alb.534925150,alb.185201,alb.561937969,alb.276245,alb.596565593,alb.720351062,alb.216489,alb.599478258,alb.638848343,alb.600780447,alb.430544689,alb.311318,alb.638848385,alb.437957270,alb.246700,alb.638848419,alb.213974,alb.54341980,alb.411223250,alb.647913995"
Pop,Kesha,"alb.441509933,alb.441510036,alb.439297947,alb.439294697,alb.439747154,alb.612637059,alb.612454103,alb.270483846,alb.270485280,alb.648247162,alb.648244405,alb.392795818,alb.352545765,alb.68592402,alb.68592382,alb.352545727,alb.55342708,alb.352545751,alb.42506838,alb.42506822,alb.38751055,alb.352545707,alb.55343493,alb.31445629,alb.55343309,alb.317273845"
Pop,Avicii,"alb.381850152,alb.381838279,alb.328468459,alb.238875289,alb.313539512,alb.200139250,alb.200728292,alb.200139380,alb.359652498,alb.359292142,alb.143137570,alb.140706114,alb.139856412,alb.131437045,alb.321493911,alb.122290221,alb.122880821,alb.510392377,alb.117812937,alb.71216702,alb.336557143,alb.368228397,alb.70044933,alb.85593359,alb.105991323,alb.105990924,alb.179779284,alb.179525381,alb.57754639,alb.71601540,alb.48965046,alb.70211669,alb.71663525,alb.71785180,alb.57805073,alb.72378281,alb.57769804,alb.45225721,alb.314086031,alb.330403224,alb.131429351,alb.279602589,alb.439462566,alb.57744803,alb.106996471,alb.125875051,alb.126062791,alb.64417114,alb.71460688,alb.57803366,alb.319616436,alb.132116168"
Pop,Jennifer Lopez,"alb.719892492,alb.719875537,alb.722929025,alb.672356908,alb.319632797,alb.226576404,alb.150959158,alb.150959290,alb.150557487,alb.359264145,alb.150959137,alb.150959209,alb.70375512,alb.62261965,alb.62128300,alb.54311115,alb.55249080,alb.107139010,alb.45753064,alb.54400899,alb.54402864,alb.54403443,alb.54404707,alb.55301665,alb.610725149,alb.16657741,alb.55871833,alb.226659983,alb.345723069,alb.13905583,alb.72177402,alb.72331870,alb.6916347,alb.6847958,alb.6807301,alb.54242517,alb.56531688,alb.56531943,alb.344671399,alb.55870658,alb.55870859,alb.97260,alb.56357087,alb.56358620,alb.56346021,alb.110943853,alb.205163,alb.123063,alb.344671379,alb.231967,alb.93994,alb.260489,alb.56356415,alb.71727286,alb.56326795,alb.140532,alb.140533,alb.71607728,alb.26872982,alb.174131,alb.256901,alb.56326728,alb.56332188"
